"","yearSeason","slugSeason","idTeam","idPlayer","typeGrid","namePlayer","nameTeam","typeEvent","typeAction","typeShot","dateGame","slugTeamHome","slugTeamAway","idGame","idEvent","numberPeriod","minutesRemaining","zoneBasic","nameZone","slugZone","zoneRange","locationX","locationY","secondsRemaining","distanceShot","isShotAttempted","isShotMade"
"1",2022,"2021-22",1610612761,1627832,"Shot Chart Detail","Fred VanVleet","Toronto Raptors","Made Shot","Step Back Jump shot","2PT Field Goal","20220109","TOR","NOP",22100599,10,1,11,"Mid-Range","Left Side","L","16-24 ft.",-158,94,10,18,TRUE,TRUE
"2",2022,"2021-22",1610612761,203920,"Shot Chart Detail","Khem Birch","Toronto Raptors","Made Shot","Floating Jump shot","2PT Field Goal","20220109","TOR","NOP",22100599,16,1,10,"In The Paint (Non-RA)","Center","C","8-16 ft.",5,122,35,12,TRUE,TRUE
"3",2022,"2021-22",1610612761,1627832,"Shot Chart Detail","Fred VanVleet","Toronto Raptors","Missed Shot","Jump Shot","3PT Field Goal","20220109","TOR","NOP",22100599,20,1,10,"Above the Break 3","Right Side Center","RC","24+ ft.",179,225,0,28,TRUE,FALSE
"4",2022,"2021-22",1610612761,1628384,"Shot Chart Detail","OG Anunoby","Toronto Raptors","Made Shot","Jump Shot","3PT Field Goal","20220109","TOR","NOP",22100599,23,1,9,"Above the Break 3","Right Side Center","RC","24+ ft.",186,173,37,25,TRUE,TRUE
"5",2022,"2021-22",1610612761,1630567,"Shot Chart Detail","Scottie Barnes","Toronto Raptors","Made Shot","Turnaround Jump Shot","2PT Field Goal","20220109","TOR","NOP",22100599,27,1,9,"In The Paint (Non-RA)","Left Side","L","8-16 ft.",-50,66,3,8,TRUE,TRUE
"6",2022,"2021-22",1610612761,1628384,"Shot Chart Detail","OG Anunoby","Toronto Raptors","Missed Shot","Jump Shot","3PT Field Goal","20220109","TOR","NOP",22100599,31,1,8,"Above the Break 3","Right Side Center","RC","24+ ft.",194,189,32,27,TRUE,FALSE
"7",2022,"2021-22",1610612761,1627832,"Shot Chart Detail","Fred VanVleet","Toronto Raptors","Missed Shot","Pullup Jump shot","2PT Field Goal","20220109","TOR","NOP",22100599,43,1,7,"Mid-Range","Right Side","R","16-24 ft.",163,106,33,19,TRUE,FALSE
"8",2022,"2021-22",1610612761,1627783,"Shot Chart Detail","Pascal Siakam","Toronto Raptors","Missed Shot","Running Layup Shot","2PT Field Goal","20220109","TOR","NOP",22100599,47,1,7,"Restricted Area","Center","C","Less Than 8 ft.",-5,24,18,2,TRUE,FALSE
"9",2022,"2021-22",1610612761,1627832,"Shot Chart Detail","Fred VanVleet","Toronto Raptors","Made Shot","Driving Hook Shot","2PT Field Goal","20220109","TOR","NOP",22100599,49,1,7,"In The Paint (Non-RA)","Center","C","Less Than 8 ft.",59,42,3,7,TRUE,TRUE
"10",2022,"2021-22",1610612761,1627832,"Shot Chart Detail","Fred VanVleet","Toronto Raptors","Made Shot","Running Pull-Up Jump Shot","3PT Field Goal","20220109","TOR","NOP",22100599,52,1,6,"Above the Break 3","Right Side Center","RC","24+ ft.",118,268,37,29,TRUE,TRUE
