"","Team1","Team2"
"idGame","22100599","22100599"
"slugTeam","TOR","NOP"
"idTeam","1610612761","1610612740"
"fgm","36","34"
"fga","85","75"
"pctFG","0.424","0.453"
"fg3m","14","12"
"fg3a","34","33"
"pctFG3","0.4117647","0.3636364"
"pctFT","0.95","0.84"
"fg2m","22","22"
"fg2a","51","42"
"pctFG2","0.4313725","0.5238095"
"teamName","Raptors","Pelicans"
"cityTeam","Toronto","New Orleans"
"minExact","240","240"
"ftm","19","21"
"fta","20","25"
"oreb","15"," 7"
"dreb","31","28"
"treb","46","35"
"ast","18","20"
"stl","8","5"
"blk","3","5"
"tov","12","13"
"pf","20","18"
"pts","105","101"
"plusminus"," 4","-4"
"pctAST","0.500","0.588"
"pctOREB","0.360","0.238"
"pctDREB","0.762","0.640"
"pctTREB","0.543","0.457"
"pctTOVE","14.161","14.130"
"pctTOVTeam","14.3","14.6"
"pctEFG","0.506","0.533"
"pctTS","0.560","0.587"
"pctUSG","1","1"
"pctUSGE","0.195","0.200"
"ortgE","114.4","109.8"
"ortg","115.4","113.5"
"drtgE","109.8","114.4"
"drtg","113.5","115.4"
"netrtgE"," 4.6","-4.6"
"netrtg"," 1.9","-1.9"
"ratioASTtoTOV","1.38","1.54"
"ratioAST","14.4","16.8"
"paceE","91.9","91.9"
"pace","90","90"
"pacePer40PACE_PER40","75","75"
"possessions","91","89"
"ratioPIE","0.512","0.488"
"pctFGAasFG2","0.60","0.56"
"pctFGAasFG3","0.40","0.44"
"pctPTSasFG2","0.419","0.436"
"pctPTSasFG2asMR","0.076","0.079"
"pctsPTSasFG3","0.400","0.356"
"pctPTSasFB","0.200","0.139"
"pctPTSasFT","0.181","0.208"
"pctPTSasOffTOV","0.133","0.178"
"pctPTSasPaint","0.343","0.356"
"pctFG2MasAssisted","0.409","0.409"
"pctFG2MasUnassisted","0.591","0.591"
"pctFG3MasAssisted","0.643","0.917"
"pctFG3MasUnassisted","0.357","0.083"
"pctFGMasAssisted","0.500","0.588"
"pctFGMasUnassisted","0.500","0.412"
"ptsOffTOV","14","18"
"ptsSecondChance","24"," 6"
"ptsFastBreak","21","14"
"ptsPaint","36","36"
"ptsOffTOVOpponent","18","14"
"ptsSecondChanceOpponent"," 6","24"
"ptsFastBreakOpponent","14","21"
"ptsPaintOpponent","36","36"
"blka","5","3"
"pfd","18","20"
"pctFGMOfTeam","1","1"
"pctFGAOfTeam","1","1"
"pctFG3MOfTeam","1","1"
"pctFG3AOfTeam","1","1"
"pctFTMOfTeam","1","1"
"pctFTAOfTeam","1","1"
"pctOREBOfTeam","1","1"
"pctDREBOfTeam","1","1"
"pctREBOfTeam","1","1"
"pctASTOfTeam","1","1"
"pctTOVOfTeam","1","1"
"pctSTLOfTeam","1","1"
"pctBLKOfTeam","1","1"
"pctBLKAOfTeam","1","1"
"pctPFOfTeam","1","1"
"pctPFDOfTeam","1","1"
"pctPTSOfTeam","1","1"
"pctEFGOpponent","0.533","0.506"
"pctTOVOpponent","0.141","0.142"
"pctOREBOpponent","0.238","0.360"
"rateFTA","0.235","0.333"
"rateFTAOpponent","0.333","0.235"
"namePlayer",NA,NA
"fgContested",NA,NA
"fg2Contested",NA,NA
"fg3Contested",NA,NA
"boxOutsPlayerTeamRebound",NA,NA
"screenAssist",NA,NA
"ptsScreenAssist",NA,NA
"deflections",NA,NA
"chargesDrawn",NA,NA
"looseBallsRecoveredOffense",NA,NA
"looseBallsRecoveredDefense",NA,NA
"looseBallsRecovered",NA,NA
"boxOutsOffense",NA,NA
"boxOutsDefense",NA,NA
"boxOutsPlayerTREB",NA,NA
"boxOuts",NA,NA
"passes","261","290"
"fgmContested","14","17"
"fgaContested","32","34"
"pctFGContested","0.438","0.500"
"fgmUncontested","22","17"
"fgaUncontested","53","41"
"pctFGUncontested","0.415","0.415"
"fgmRimDefended","16","14"
"fgaRimDefended","26","21"
"pctFGRimDefended","0.615","0.667"
"distMiles","17.34","17.32"
"orebChances","30","16"
"drebChances","51","51"
"trebChances","80","66"
"touches","376","398"
"astSecondary","1","5"
"ftAST","2","5"
